username,first_name,last_name,email,roll_number,semester,mobile_no,address,student_id
johndoe,John,Doe,johndoe@dbit.in,12345,1,9876543210,"123 Main St",STU001
janedoe,Jane,Doe,janedoe@dbit.in,12346,1,9876543211,"124 Main St",STU002
alicealice,Alice,Smith,alicealice@dbit.in,12347,2,9876543212,"125 Main St",STU003
bobbob,Bob,Brown,bobbob@dbit.in,12348,2,9876543213,"126 Main St",STU004
user5,First5,Last5,user5@dbit.in,12349,6,9876543215,"105 Main St",STU005
user6,First6,Last6,user6@dbit.in,12350,7,9876543216,"106 Main St",STU006
user7,First7,Last7,user7@dbit.in,12351,8,9876543217,"107 Main St",STU007
user8,First8,Last8,user8@dbit.in,12352,1,9876543218,"108 Main St",STU008
user9,First9,Last9,user9@dbit.in,12353,2,9876543219,"109 Main St",STU009
user10,First10,Last10,user10@dbit.in,12354,3,9876543220,"110 Main St",STU010
user11,First11,Last11,user11@dbit.in,12355,4,9876543221,"111 Main St",STU011
user12,First12,Last12,user12@dbit.in,12356,5,9876543222,"112 Main St",STU012
user13,First13,Last13,user13@dbit.in,12357,6,9876543223,"113 Main St",STU013
user14,First14,Last14,user14@dbit.in,12358,7,9876543224,"114 Main St",STU014
user15,First15,Last15,user15@dbit.in,12359,8,9876543225,"115 Main St",STU015
user16,First16,Last16,user16@dbit.in,12360,1,9876543226,"116 Main St",STU016
user17,First17,Last17,user17@dbit.in,12361,2,9876543227,"117 Main St",STU017
user18,First18,Last18,user18@dbit.in,12362,3,9876543228,"118 Main St",STU018
user19,First19,Last19,user19@dbit.in,12363,4,9876543229,"119 Main St",STU019
user20,First20,Last20,user20@dbit.in,12364,5,9876543230,"120 Main St",STU020
user21,First21,Last21,user21@dbit.in,12365,6,9876543231,"121 Main St",STU021
user22,First22,Last22,user22@dbit.in,12366,7,9876543232,"122 Main St",STU022
user23,First23,Last23,user23@dbit.in,12367,8,9876543233,"123 Main St",STU023
user24,First24,Last24,user24@dbit.in,12368,1,9876543234,"124 Main St",STU024
user25,First25,Last25,user25@dbit.in,12369,2,9876543235,"125 Main St",STU025
user26,First26,Last26,user26@dbit.in,12370,3,9876543236,"126 Main St",STU026
user27,First27,Last27,user27@dbit.in,12371,4,9876543237,"127 Main St",STU027
user28,First28,Last28,user28@dbit.in,12372,5,9876543238,"128 Main St",STU028
user29,First29,Last29,user29@dbit.in,12373,6,9876543239,"129 Main St",STU029
user30,First30,Last30,user30@dbit.in,12374,7,9876543240,"130 Main St",STU030
user31,First31,Last31,user31@dbit.in,12375,8,9876543241,"131 Main St",STU031
user32,First32,Last32,user32@dbit.in,12376,1,9876543242,"132 Main St",STU032
user33,First33,Last33,user33@dbit.in,12377,2,9876543243,"133 Main St",STU033
user34,First34,Last34,user34@dbit.in,12378,3,9876543244,"134 Main St",STU034
user35,First35,Last35,user35@dbit.in,12379,4,9876543245,"135 Main St",STU035
user36,First36,Last36,user36@dbit.in,12380,5,9876543246,"136 Main St",STU036
user37,First37,Last37,user37@dbit.in,12381,6,9876543247,"137 Main St",STU037
user38,First38,Last38,user38@dbit.in,12382,7,9876543248,"138 Main St",STU038
user39,First39,Last39,user39@dbit.in,12383,8,9876543249,"139 Main St",STU039
user40,First40,Last40,user40@dbit.in,12384,1,9876543250,"140 Main St",STU040
user41,First41,Last41,user41@dbit.in,12385,2,9876543251,"141 Main St",STU041
user42,First42,Last42,user42@dbit.in,12386,3,9876543252,"142 Main St",STU042
user43,First43,Last43,user43@dbit.in,12387,4,9876543253,"143 Main St",STU043
user44,First44,Last44,user44@dbit.in,12388,5,9876543254,"144 Main St",STU044
user45,First45,Last45,user45@dbit.in,12389,6,9876543255,"145 Main St",STU045
user46,First46,Last46,user46@dbit.in,12390,7,9876543256,"146 Main St",STU046
user47,First47,Last47,user47@dbit.in,12391,8,9876543257,"147 Main St",STU047
user48,First48,Last48,user48@dbit.in,12392,1,9876543258,"148 Main St",STU048
user49,First49,Last49,user49@dbit.in,12393,2,9876543259,"149 Main St",STU049
user50,First50,Last50,user50@dbit.in,12394,3,9876543260,"150 Main St",STU050
user51,First51,Last51,user51@dbit.in,12395,4,9876543261,"151 Main St",STU051
user52,First52,Last52,user52@dbit.in,12396,5,9876543262,"152 Main St",STU052
user53,First53,Last53,user53@dbit.in,12397,6,9876543263,"153 Main St",STU053
user54,First54,Last54,user54@dbit.in,12398,7,9876543264,"154 Main St",STU054
user55,First55,Last55,user55@dbit.in,12399,8,9876543265,"155 Main St",STU055
user56,First56,Last56,user56@dbit.in,12400,1,9876543266,"156 Main St",STU056
user57,First57,Last57,user57@dbit.in,12401,2,9876543267,"157 Main St",STU057
user58,First58,Last58,user58@dbit.in,12402,3,9876543268,"158 Main St",STU058
user59,First59,Last59,user59@dbit.in,12403,4,9876543269,"159 Main St",STU059
user60,First60,Last60,user60@dbit.in,12404,5,9876543270,"160 Main St",STU060
user61,First61,Last61,user61@dbit.in,12405,6,9876543271,"161 Main St",STU061
user62,First62,Last62,user62@dbit.in,12406,7,9876543272,"162 Main St",STU062
user63,First63,Last63,user63@dbit.in,12407,8,9876543273,"163 Main St",STU063
user64,First64,Last64,user64@dbit.in,12408,1,9876543274,"164 Main St",STU064
